id_record,source,fecha_scrape,placa,marca,modelo,anio,kilometraje,climateSystem,ciudad,transmision,motor,fuelType,traccion,color,motor,transmision,direccion,interiorType,typePago,descripcion,fecha_ingreso,color,motorType,productId,url,json
1976189,patiotuerca,2026-08-20T17:52:40Z,,BMW,325i,,,Aire Acondicionado,Cumbayá,Automática,2.0 CC,Gasolina,4 x 2,Crema,2.0 CC,Automática,Hidráulica,Otro,Negociable,,2026-08-20T17:52:40Z,Crema,ND,1976189,https://ecuador.patiotuerca.com/vehicle/autos-bmw-325i-cumbay%c3%a1-2009/1976189,"{""id_record"": ""1976189"", ""summary"": {""Año"": ""2009"", ""Ciudad"": ""Cumbayá"", ""Recorrido"": ""111.717 Kms"", ""Publicación"": ""#1976189"", ""Tipo de pago"": ""Negociable"", ""Precio contado"": ""$16.900 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1976189"", ""Marca"": ""BMW"", ""Modelo"": ""325i"", ""Subtipo"": ""Sedán"", ""Recorrido"": ""111.717 Kms"", ""Sistema de climatización"": ""Aire Acondicionado"", ""Tracción"": ""4 x 2"", ""Color"": ""Crema"", ""Vidrios"": ""Eléctricos"", ""Transmisión"": ""Automática"", ""Dirección"": ""Hidráulica"", ""Tapizado"": ""Otro"", ""Combustible"": ""Gasolina"", ""Cilindraje"": ""2.0 CC""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-bmw-325i-cumbay%c3%a1-2009/1976189""}"
1972255,patiotuerca,2026-08-20T17:52:40Z,,Cadillac,Escalade,,,Aire Acondicionado,Guayaquil,Automática,6200 CC,Gasolina,4 x 2,Blanco,6200 CC,Automática,Electrónica,Cuero,Negociable,,2026-08-20T17:52:40Z,Blanco,ND,1972255,https://ecuador.patiotuerca.com/vehicle/autos-cadillac-escalade-guayaquil-2018/1972255,"{""id_record"": ""1972255"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Guayaquil"", ""Recorrido"": ""68.820 Kms"", ""Publicación"": ""#1972255"", ""Tipo de pago"": ""Negociable"", ""Precio contado"": ""$85.000 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1972255"", ""Marca"": ""Cadillac"", ""Modelo"": ""Escalade"", ""Subtipo"": ""Todoterreno"", ""Recorrido"": ""68.820 Kms"", ""Sistema de climatización"": ""Aire Acondicionado"", ""Tracción"": ""4 x 2"", ""Color"": ""Blanco"", ""Vidrios"": ""Eléctricos"", ""Transmisión"": ""Automática"", ""Dirección"": ""Electrónica"", ""Tapizado"": ""Cuero"", ""Combustible"": ""Gasolina"", ""Cilindraje"": ""6200 CC""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-cadillac-escalade-guayaquil-2018/1972255""}"
1972274,patiotuerca,2026-08-20T17:52:40Z,,Cadillac,Escalade,,,Aire Acondicionado,Guayaquil,Automática,6200 CC,Gasolina,4 x 2,Negro,6200 CC,Automática,Electrónica,Cuero,Negociable,,2026-08-20T17:52:40Z,Negro,ND,1972274,https://ecuador.patiotuerca.com/vehicle/autos-cadillac-escalade-guayaquil-2018/1972274,"{""id_record"": ""1972274"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Guayaquil"", ""Recorrido"": ""76.826 Kms"", ""Publicación"": ""#1972274"", ""Tipo de pago"": ""Negociable"", ""Precio contado"": ""$85.000 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1972274"", ""Marca"": ""Cadillac"", ""Modelo"": ""Escalade"", ""Subtipo"": ""Todoterreno"", ""Recorrido"": ""76.826 Kms"", ""Sistema de climatización"": ""Aire Acondicionado"", ""Tracción"": ""4 x 2"", ""Color"": ""Negro"", ""Vidrios"": ""Eléctricos"", ""Transmisión"": ""Automática"", ""Dirección"": ""Electrónica"", ""Tapizado"": ""Cuero"", ""Combustible"": ""Gasolina"", ""Cilindraje"": ""6200 CC""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-cadillac-escalade-guayaquil-2018/1972274""}"
1965572,patiotuerca,2026-08-20T17:52:40Z,,Chery,Practivan,,,Aire Acondicionado,Guayaquil,Manual,1.2 CC,Gasolina,4 x 2,Plata,1.2 CC,Manual,Mecánica,Otro,Negociable,,2026-08-20T17:52:40Z,Plata,79 HP,1965572,https://ecuador.patiotuerca.com/vehicle/autos-chery-practivan-guayaquil-2018/1965572,"{""id_record"": ""1965572"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Guayaquil"", ""Recorrido"": ""198.000 Kms"", ""Publicación"": ""#1965572"", ""Tipo de pago"": ""Negociable"", ""Precio contado"": ""$9.800 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1965572"", ""Marca"": ""Chery"", ""Modelo"": ""Practivan"", ""Subtipo"": ""Van"", ""Recorrido"": ""198.000 Kms"", ""Sistema de climatización"": ""Aire Acondicionado"", ""Tracción"": ""4 x 2"", ""Color"": ""Plata"", ""Vidrios"": ""Eléctricos"", ""Transmisión"": ""Manual"", ""Dirección"": ""Mecánica"", ""Tapizado"": ""Otro"", ""Combustible"": ""Gasolina"", ""Cilindraje"": ""1.2 CC"", ""Tipo de motor"": ""79 HP""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-chery-practivan-guayaquil-2018/1965572""}"
1972381,patiotuerca,2026-08-20T17:52:40Z,,Chevrolet,Aveo Family,,,Calefacción,Quito,Manual,1500 CC,Gasolina,4 x 2,Blanco,1500 CC,Manual,Hidráulica,Tela,Negociable,,2026-08-20T17:52:40Z,Blanco,ND,1972381,https://ecuador.patiotuerca.com/vehicle/autos-chevrolet-aveo-family-quito-2018/1972381,"{""id_record"": ""1972381"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Quito"", ""Recorrido"": ""81.000 Kms"", ""Publicación"": ""#1972381"", ""Tipo de pago"": ""Negociable"", ""Precio contado"": ""$10.900 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1972381"", ""Marca"": ""Chevrolet"", ""Modelo"": ""Aveo Family"", ""Subtipo"": ""Sedán"", ""Recorrido"": ""81.000 Kms"", ""Sistema de climatización"": ""Calefacción"", ""Tracción"": ""4 x 2"", ""Color"": ""Blanco"", ""Vidrios"": ""Manuales"", ""Transmisión"": ""Manual"", ""Dirección"": ""Hidráulica"", ""Tapizado"": ""Tela"", ""Combustible"": ""Gasolina"", ""Cilindraje"": ""1500 CC""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-chevrolet-aveo-family-quito-2018/1972381""}"
1968850,patiotuerca,2026-08-20T17:52:40Z,,Chevrolet,spar life,,,Calefacción,Ambato,Manual,1000 CC,Gasolina,4 x 2,Vino,1000 CC,Manual,Hidráulica,Tela,Negociable,,2026-08-20T17:52:40Z,Vino,ND,1968850,https://ecuador.patiotuerca.com/vehicle/autos-chevrolet-spar-life-ambato-2018/1968850,"{""id_record"": ""1968850"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Ambato"", ""Recorrido"": ""140.000 Kms"", ""Publicación"": ""#1968850"", ""Tipo de pago"": ""Negociable"", ""Precio contado"": ""$8.800 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1968850"", ""Marca"": ""Chevrolet"", ""Modelo"": ""spar life"", ""Subtipo"": ""Hatchback (5 Puertas)"", ""Recorrido"": ""140.000 Kms"", ""Sistema de climatización"": ""Calefacción"", ""Tracción"": ""4 x 2"", ""Color"": ""Vino"", ""Vidrios"": ""Manuales"", ""Transmisión"": ""Manual"", ""Dirección"": ""Hidráulica"", ""Tapizado"": ""Tela"", ""Combustible"": ""Gasolina"", ""Cilindraje"": ""1000 CC""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-chevrolet-spar-life-ambato-2018/1968850""}"
1976845,patiotuerca,2026-08-20T17:52:40Z,,Chevrolet,Spark,,,Calefacción,Quito,Manual,ND,Gasolina,4 x 2,Plata,ND,Manual,Hidráulica,Tela,Fijo,,2026-08-20T17:52:40Z,Plata,ND,1976845,https://ecuador.patiotuerca.com/vehicle/autos-chevrolet-spark-quito-2018/1976845,"{""id_record"": ""1976845"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Quito"", ""Recorrido"": ""146.000 Kms"", ""Publicación"": ""#1976845"", ""Tipo de pago"": ""Fijo"", ""Precio contado"": ""$8.990 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1976845"", ""Marca"": ""Chevrolet"", ""Modelo"": ""Spark"", ""Subtipo"": ""Hatchback (5 Puertas)"", ""Recorrido"": ""146.000 Kms"", ""Sistema de climatización"": ""Calefacción"", ""Tracción"": ""4 x 2"", ""Color"": ""Plata"", ""Vidrios"": ""Manuales"", ""Transmisión"": ""Manual"", ""Dirección"": ""Hidráulica"", ""Tapizado"": ""Tela"", ""Combustible"": ""Gasolina""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-chevrolet-spark-quito-2018/1976845""}"
1953092,patiotuerca,2026-08-20T17:52:40Z,,Domy,E30 EV,,,Aire Acondicionado,Ambato,Automática,ND,Eléctrico,4 x 2,Blanco,ND,Automática,Asistida,Tela,Fijo,,2026-08-20T17:52:40Z,Blanco,Electrico,1953092,https://ecuador.patiotuerca.com/vehicle/autos-domy-e30-ev-ambato-2018/1953092,"{""id_record"": ""1953092"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Ambato"", ""Recorrido"": ""21.100 Kms"", ""Publicación"": ""#1953092"", ""Tipo de pago"": ""Fijo"", ""Precio contado"": ""$7.800 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1953092"", ""Marca"": ""Domy"", ""Modelo"": ""E30 EV"", ""Subtipo"": ""Hatchback (3 Puertas)"", ""Recorrido"": ""21.100 Kms"", ""Sistema de climatización"": ""Aire Acondicionado"", ""Tracción"": ""4 x 2"", ""Color"": ""Blanco"", ""Vidrios"": ""Eléctricos"", ""Transmisión"": ""Automática"", ""Dirección"": ""Asistida"", ""Tapizado"": ""Tela"", ""Combustible"": ""Eléctrico"", ""Tipo de motor"": ""Electrico""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-domy-e30-ev-ambato-2018/1953092""}"
1979530,patiotuerca,2026-08-20T17:52:40Z,,Ford,Escape,,,Aire Acondicionado,Manta,Automática,2.5 CC,Gasolina,4 x 2,Plomo,2.5 CC,Automática,ND,Tela,Negociable,,2026-08-20T17:52:40Z,Plomo,ND,1979530,https://ecuador.patiotuerca.com/vehicle/autos-ford-escape-manta-2018/1979530,"{""id_record"": ""1979530"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Manta"", ""Recorrido"": ""112.000 Kms"", ""Publicación"": ""#1979530"", ""Tipo de pago"": ""Negociable"", ""Precio contado"": ""$16.500 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1979530"", ""Marca"": ""Ford"", ""Modelo"": ""Escape"", ""Subtipo"": ""SUV"", ""Recorrido"": ""112.000 Kms"", ""Sistema de climatización"": ""Aire Acondicionado"", ""Tracción"": ""4 x 2"", ""Color"": ""Plomo"", ""Vidrios"": ""Eléctricos"", ""Transmisión"": ""Automática"", ""Tapizado"": ""Tela"", ""Combustible"": ""Gasolina"", ""Cilindraje"": ""2.5 CC""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-ford-escape-manta-2018/1979530""}"
1979497,patiotuerca,2026-08-20T17:52:40Z,,Ford,Explorer XLT,,,Aire Acondicionado,Guayaquil,Automática,3497 CC,Gasolina,4 x 4,Cobre,3497 CC,Automática,Asistida,Cuero,Negociable,,2026-08-20T17:52:40Z,Cobre,3.5,1979497,https://ecuador.patiotuerca.com/vehicle/autos-ford-explorer-xlt-guayaquil-2018/1979497,"{""id_record"": ""1979497"", ""summary"": {""Año"": ""2018"", ""Ciudad"": ""Guayaquil"", ""Recorrido"": ""116.325 Kms"", ""Publicación"": ""#1979497"", ""Tipo de pago"": ""Negociable"", ""Precio contado"": ""$34.800 USD""}, ""ficha_tecnica"": {""Publicación"": ""#1979497"", ""Marca"": ""Ford"", ""Modelo"": ""Explorer XLT"", ""Subtipo"": ""Todoterreno"", ""Recorrido"": ""116.325 Kms"", ""Sistema de climatización"": ""Aire Acondicionado"", ""Tracción"": ""4 x 4"", ""Color"": ""Cobre"", ""Vidrios"": ""Eléctricos"", ""Transmisión"": ""Automática"", ""Dirección"": ""Asistida"", ""Tapizado"": ""Cuero"", ""Combustible"": ""Gasolina"", ""Cilindraje"": ""3497 CC"", ""Tipo de motor"": ""3.5""}, ""url"": ""https://ecuador.patiotuerca.com/vehicle/autos-ford-explorer-xlt-guayaquil-2018/1979497""}"
