id_record,maraca,model,transmision,cilindraje,kilometraje,fecha_ingreso,json
1,KIA,SPORTAGE,Manual,2.0,100000,2025-10-22T21:52:04.000Z,"{""id_registro"": 1, ""id"": ""B47CDC4D-8028-4748-8095-59974C607F4B"", ""media"": null, ""marca"": ""KIA"", ""modelo"": ""SPORTAGE"", ""precio"": 22900, ""anio"": 2020, ""duenio"": 1, ""domicilio"": 0, ""kilometraje"": 100000, ""tipo"": ""SUV"", ""ubicacion"": ""Autocor Valle de los Chillos"", ""canal_negocio"": ""2000"", ""procesado_el"": ""2025-10-23T12:00:13.971Z"", ""color"": ""PLATEADO"", ""accesorios"": ""4X2"", ""placa"": ""PDK8873"", ""bandera_recibido"": ""0"", ""dias_en_stock"": ""0"", ""publicado_en_web"": ""0"", ""numero_motor"": ""006-001-000002014"", ""reservado_por_email"": """", ""reservado_por_nombre"": """", ""reservado_el"": null, ""expira_el"": null, ""id_oportunidad_venta"": """", ""facturado_fabrica_el"": ""2025-10-20T00:00:00.000Z"", ""estado_fabrica"": ""SI"", ""estado"": ""DISPONIBLE"", ""combustible"": ""Gasolina"", ""disponibilidad"": ""Disponible"", ""codigo_disponibilidad"": ""1"", ""creado_por"": ""EDWIN ALFREDO CEVALLOS NOBOA"", ""fecha_ingreso"": ""2025-10-22T21:52:04.000Z"", ""bandera_eliminado"": ""0"", ""sucursal_duenio"": ""Autocor Valle de los Chillos"", ""grupo"": ""SUV"", ""transmision_bruta"": ""MANUAL"", ""codigo_referencia_integracion"": ""F2C6866B-C6E0-4681-A005-F63B9E47F1C1"", ""version"": ""R GTI AC 2.0 5P 4X2 TM"", ""precio_compra"": 20000, ""transmision"": ""Manual"", ""cilindraje"": ""2.0""}"
10,MERCEDEZ BENZ,E350,Automática,2.0,14522,2025-10-21T15:15:56.000Z,"{""id_registro"": 10, ""id"": ""11256784-C743-4775-A663-8D9BFE3EB4D9"", ""media"": ""https://cdn.pilotsolution.net/crm/stock/autocor/12416/12416_233735_desktop.jpeg"", ""marca"": ""MERCEDEZ BENZ"", ""modelo"": ""E350"", ""precio"": 51900, ""anio"": 2021, ""duenio"": 1, ""domicilio"": 1, ""kilometraje"": 14522, ""tipo"": ""SEDAN"", ""ubicacion"": ""Autocor Guayaquil"", ""canal_negocio"": ""2000"", ""procesado_el"": ""2025-10-23T12:00:13.971Z"", ""color"": ""PLATEADO"", ""accesorios"": ""4X2"", ""placa"": ""GCT7693"", ""bandera_recibido"": ""1"", ""dias_en_stock"": ""6"", ""publicado_en_web"": ""1"", ""numero_motor"": """", ""reservado_por_email"": """", ""reservado_por_nombre"": """", ""reservado_el"": null, ""expira_el"": null, ""id_oportunidad_venta"": """", ""facturado_fabrica_el"": ""2025-10-17T00:00:00.000Z"", ""estado_fabrica"": ""SI"", ""estado"": ""DISPONIBLE"", ""combustible"": ""Gasolina"", ""disponibilidad"": ""Disponible"", ""codigo_disponibilidad"": ""1"", ""creado_por"": ""VENTAS  GUAYAQUIL"", ""fecha_ingreso"": ""2025-10-21T15:15:56.000Z"", ""bandera_eliminado"": ""0"", ""sucursal_duenio"": ""Autocor Guayaquil"", ""grupo"": ""SEDAN"", ""transmision_bruta"": ""AUTOMATICA"", ""codigo_referencia_integracion"": ""94F9508F-21F2-4F30-AA67-BB4568ECE73B"", ""version"": ""LINE AC 2.0 4P 4X2 TA"", ""precio_compra"": 42000, ""transmision"": ""Automática"", ""cilindraje"": ""2.0""}"
100,KIA,SORENTO,Automática,3.3,77345,2025-10-04T23:44:31.000Z,"{""id_registro"": 100, ""id"": ""8CF9552E-0178-4E1F-AE65-681D265FBB45"", ""media"": ""https://cdn.pilotsolution.net/crm/stock/autocor/12209/12209_228674_desktop.jpeg"", ""marca"": ""KIA"", ""modelo"": ""SORENTO"", ""precio"": 22600, ""anio"": 2017, ""duenio"": 0, ""domicilio"": 1, ""kilometraje"": 77345, ""tipo"": ""SUV"", ""ubicacion"": ""Autocor Guayaquil"", ""canal_negocio"": ""3300"", ""procesado_el"": ""2025-10-23T12:00:13.971Z"", ""color"": ""NEGRO"", ""accesorios"": ""4X4"", ""placa"": ""GTD4230"", ""bandera_recibido"": ""1"", ""dias_en_stock"": ""20"", ""publicado_en_web"": ""1"", ""numero_motor"": """", ""reservado_por_email"": """", ""reservado_por_nombre"": """", ""reservado_el"": null, ""expira_el"": null, ""id_oportunidad_venta"": """", ""facturado_fabrica_el"": ""2025-10-03T00:00:00.000Z"", ""estado_fabrica"": ""NO"", ""estado"": ""DISPONIBLE"", ""combustible"": ""Gasolina"", ""disponibilidad"": ""Disponible"", ""codigo_disponibilidad"": ""1"", ""creado_por"": ""ERNESTO ORTEGA"", ""fecha_ingreso"": ""2025-10-04T23:44:31.000Z"", ""bandera_eliminado"": ""0"", ""sucursal_duenio"": ""Autocor Guayaquil"", ""grupo"": ""SUV"", ""transmision_bruta"": ""AUTOMATICA"", ""codigo_referencia_integracion"": ""A1C93D52-8353-4782-B09A-7E4388EB6A41"", ""version"": ""3.3 5P 4X4 TA"", ""precio_compra"": 18500, ""transmision"": ""Automática"", ""cilindraje"": ""3.3""}"
101,AUDI,E-TRON,Automática,50,24000,2025-10-04T18:51:46.000Z,"{""id_registro"": 101, ""id"": ""71B61C10-9812-479F-85EF-0140A9D61318"", ""media"": ""https://cdn.pilotsolution.net/crm/stock/autocor/12206/12206_229665_desktop.jpeg"", ""marca"": ""AUDI"", ""modelo"": ""E-TRON"", ""precio"": 63900, ""anio"": 2023, ""duenio"": 0, ""domicilio"": 1, ""kilometraje"": 24000, ""tipo"": ""SUV"", ""ubicacion"": ""Autocor Shyris"", ""canal_negocio"": ""0"", ""procesado_el"": ""2025-10-23T12:00:13.971Z"", ""color"": ""PLOMO"", ""accesorios"": ""4X4"", ""placa"": ""PFE5035"", ""bandera_recibido"": ""1"", ""dias_en_stock"": ""19"", ""publicado_en_web"": ""1"", ""numero_motor"": ""005-001-000004288"", ""reservado_por_email"": """", ""reservado_por_nombre"": """", ""reservado_el"": null, ""expira_el"": null, ""id_oportunidad_venta"": """", ""facturado_fabrica_el"": ""2025-10-04T00:00:00.000Z"", ""estado_fabrica"": """", ""estado"": ""DISPONIBLE"", ""combustible"": ""Eléctrico"", ""disponibilidad"": ""Disponible"", ""codigo_disponibilidad"": ""1"", ""creado_por"": ""JOHANNA LIZETH RECALDE SARANGO"", ""fecha_ingreso"": ""2025-10-04T18:51:46.000Z"", ""bandera_eliminado"": ""0"", ""sucursal_duenio"": ""Autocor Shyris"", ""grupo"": ""SUV"", ""transmision_bruta"": ""AUTOMATICA"", ""codigo_referencia_integracion"": ""FDB4C467-E97B-4CAF-B4A1-BED53C950D7D"", ""version"": ""50 QUATT GENBBE AC 5P 4X4"", ""precio_compra"": 62900, ""transmision"": ""Automática"", ""cilindraje"": ""50""}"
102,MG,RX8,Automática,2.0,64000,2025-10-04T18:37:42.000Z,"{""id_registro"": 102, ""id"": ""126306B4-D563-4304-B2D8-CEC2B0A65A99"", ""media"": ""https://cdn.pilotsolution.net/crm/stock/autocor/12205/12205_228270_desktop.jpeg"", ""marca"": ""MG"", ""modelo"": ""RX8"", ""precio"": 23900, ""anio"": 2021, ""duenio"": 0, ""domicilio"": 0, ""kilometraje"": 64000, ""tipo"": ""SUV"", ""ubicacion"": ""Autocor Av. Orellana"", ""canal_negocio"": ""200"", ""procesado_el"": ""2025-10-23T12:00:13.971Z"", ""color"": ""PLOMO"", ""accesorios"": ""4X4"", ""placa"": ""GCT8244"", ""bandera_recibido"": ""1"", ""dias_en_stock"": ""19"", ""publicado_en_web"": ""1"", ""numero_motor"": """", ""reservado_por_email"": """", ""reservado_por_nombre"": """", ""reservado_el"": null, ""expira_el"": null, ""id_oportunidad_venta"": """", ""facturado_fabrica_el"": ""2025-10-04T00:00:00.000Z"", ""estado_fabrica"": """", ""estado"": ""DISPONIBLE"", ""combustible"": ""Gasolina"", ""disponibilidad"": ""Disponible"", ""codigo_disponibilidad"": ""1"", ""creado_por"": ""CRISTIAN  GORDILLO"", ""fecha_ingreso"": ""2025-10-04T18:37:42.000Z"", ""bandera_eliminado"": ""0"", ""sucursal_duenio"": ""Autocor Av. Orellana"", ""grupo"": ""SUV"", ""transmision_bruta"": ""AUTOMATICA"", ""codigo_referencia_integracion"": ""54AC5AAB-9973-49D8-B32B-98F1E97C44FA"", ""version"": ""AC 2.0 5P 4X4 TA"", ""precio_compra"": 17500, ""transmision"": ""Automática"", ""cilindraje"": ""2.0""}"
103,FOTON,TUNLAND,Manual,2.0,81116,2025-10-04T17:25:09.000Z,"{""id_registro"": 103, ""id"": ""4BCA74A6-F3FD-4BCE-BBD1-D60F755AB4B3"", ""media"": ""https://cdn.pilotsolution.net/crm/stock/autocor/12203/12203_232785_desktop.jpeg"", ""marca"": ""FOTON"", ""modelo"": ""TUNLAND"", ""precio"": 21400, ""anio"": 2023, ""duenio"": 0, ""domicilio"": 0, ""kilometraje"": 81116, ""tipo"": ""CAMIONETA"", ""ubicacion"": ""Autocor Cumbaya"", ""canal_negocio"": ""2000"", ""procesado_el"": ""2025-10-23T12:00:13.971Z"", ""color"": ""BLANCO"", ""accesorios"": ""4X4"", ""placa"": ""PFD3901"", ""bandera_recibido"": ""1"", ""dias_en_stock"": ""5"", ""publicado_en_web"": ""1"", ""numero_motor"": ""010-001-000000643"", ""reservado_por_email"": """", ""reservado_por_nombre"": """", ""reservado_el"": null, ""expira_el"": null, ""id_oportunidad_venta"": """", ""facturado_fabrica_el"": ""2025-10-18T00:00:00.000Z"", ""estado_fabrica"": """", ""estado"": ""DISPONIBLE"", ""combustible"": ""Diesel"", ""disponibilidad"": ""Disponible"", ""codigo_disponibilidad"": ""1"", ""creado_por"": ""PATRICIO LOPEZ PALACIOS"", ""fecha_ingreso"": ""2025-10-04T17:25:09.000Z"", ""bandera_eliminado"": ""0"", ""sucursal_duenio"": ""Autocor Cumbaya"", ""grupo"": ""CAMIONETA"", ""transmision_bruta"": ""MANUAL"", ""codigo_referencia_integracion"": ""955B461F-9E83-4D6C-B048-39358A6B7201"", ""version"": ""G AC 2.0 CD 4X4 TM DIESEL"", ""precio_compra"": 17340, ""transmision"": ""Manual"", ""cilindraje"": ""2.0""}"
104,BMW,320I,Automática,2.0,37000,2025-10-04T16:34:49.000Z,"{""id_registro"": 104, ""id"": ""3589B70D-C822-4B9B-A1DC-9FAA70D07441"", ""media"": ""https://cdn.pilotsolution.net/crm/stock/autocor/12200/12200_228726_desktop.jpeg"", ""marca"": ""BMW"", ""modelo"": ""320I"", ""precio"": 28900, ""anio"": 2017, ""duenio"": 0, ""domicilio"": 0, ""kilometraje"": 37000, ""tipo"": ""SEDAN"", ""ubicacion"": ""Autocor Shyris"", ""canal_negocio"": ""2000"", ""procesado_el"": ""2025-10-23T12:00:13.971Z"", ""color"": ""AZUL"", ""accesorios"": ""4X2\n"", ""placa"": ""PCX4445"", ""bandera_recibido"": ""0"", ""dias_en_stock"": ""0"", ""publicado_en_web"": ""1"", ""numero_motor"": ""005-001-000004275"", ""reservado_por_email"": """", ""reservado_por_nombre"": """", ""reservado_el"": null, ""expira_el"": null, ""id_oportunidad_venta"": """", ""facturado_fabrica_el"": ""2025-10-06T00:00:00.000Z"", ""estado_fabrica"": """", ""estado"": ""DISPONIBLE"", ""combustible"": ""Gasolina"", ""disponibilidad"": ""Disponible"", ""codigo_disponibilidad"": ""1"", ""creado_por"": ""ASISTENTE COMERCIAL ELOY ALFARO"", ""fecha_ingreso"": ""2025-10-04T16:34:49.000Z"", ""bandera_eliminado"": ""0"", ""sucursal_duenio"": ""Autocor Shyris"", ""grupo"": ""SEDAN"", ""transmision_bruta"": ""AUTOMATICA"", ""codigo_referencia_integracion"": ""FE896769-3B15-4AC2-9972-6A6F30A0E495"", ""version"": ""2.0 4P 4X2 TA"", ""precio_compra"": 27900, ""transmision"": ""Automática"", ""cilindraje"": ""2.0""}"
105,CHERY,TIGGO 5,Manual,2.0,100938,2025-10-04T14:43:12.000Z,"{""id_registro"": 105, ""id"": ""30C4ED5C-72C9-4455-A05F-CB4635BAFD31"", ""media"": ""https://cdn.pilotsolution.net/crm/stock/autocor/12199/12199_228596_desktop.jpeg"", ""marca"": ""CHERY"", ""modelo"": ""TIGGO 5"", ""precio"": 12400, ""anio"": 2018, ""duenio"": 1, ""domicilio"": 0, ""kilometraje"": 100938, ""tipo"": ""SUV"", ""ubicacion"": ""Autocor Guayaquil"", ""canal_negocio"": ""2000"", ""procesado_el"": ""2025-10-23T12:00:13.971Z"", ""color"": ""CAFE"", ""accesorios"": ""4X2"", ""placa"": ""GSS4195"", ""bandera_recibido"": ""1"", ""dias_en_stock"": ""24"", ""publicado_en_web"": ""1"", ""numero_motor"": """", ""reservado_por_email"": """", ""reservado_por_nombre"": """", ""reservado_el"": null, ""expira_el"": null, ""id_oportunidad_venta"": """", ""facturado_fabrica_el"": ""2025-09-29T00:00:00.000Z"", ""estado_fabrica"": ""SI"", ""estado"": ""DISPONIBLE"", ""combustible"": ""Gasolina"", ""disponibilidad"": ""Disponible"", ""codigo_disponibilidad"": ""1"", ""creado_por"": ""ERNESTO ORTEGA"", ""fecha_ingreso"": ""2025-10-04T14:43:12.000Z"", ""bandera_eliminado"": ""0"", ""sucursal_duenio"": ""Autocor Guayaquil"", ""grupo"": ""SUV"", ""transmision_bruta"": ""MANUAL"", ""codigo_referencia_integracion"": ""A189CEF3-B0EE-48FD-AB4A-93E969B1B12D"", ""version"": ""FL-T121FL AC 2.0 5P 4X2 TM"", ""precio_compra"": 10000, ""transmision"": ""Manual"", ""cilindraje"": ""2.0""}"
106,AUDI,Q5,Automática,,86750,2025-10-04T12:08:57.000Z,"{""id_registro"": 106, ""id"": ""77AC5677-21B0-42E1-9484-A665184B554D"", ""media"": ""https://cdn.pilotsolution.net/crm/stock/autocor/12195/12195_227788_desktop.jpeg"", ""marca"": ""AUDI"", ""modelo"": ""Q5"", ""precio"": 35900, ""anio"": 2019, ""duenio"": 0, ""domicilio"": 0, ""kilometraje"": 86750, ""tipo"": ""SUV"", ""ubicacion"": ""Autocor 6 de Diciembre"", ""canal_negocio"": ""2000"", ""procesado_el"": ""2025-10-23T12:00:13.971Z"", ""color"": ""PLOMO"", ""accesorios"": ""4x2"", ""placa"": ""GTD1710"", ""bandera_recibido"": ""1"", ""dias_en_stock"": ""19"", ""publicado_en_web"": ""1"", ""numero_motor"": ""001-001-000010882"", ""reservado_por_email"": """", ""reservado_por_nombre"": """", ""reservado_el"": null, ""expira_el"": null, ""id_oportunidad_venta"": """", ""facturado_fabrica_el"": ""2025-10-04T00:00:00.000Z"", ""estado_fabrica"": """", ""estado"": ""DISPONIBLE"", ""combustible"": ""Gasolina"", ""disponibilidad"": ""Disponible"", ""codigo_disponibilidad"": ""1"", ""creado_por"": ""LUIS JOAQUIN CORONEL BETRAN"", ""fecha_ingreso"": ""2025-10-04T12:08:57.000Z"", ""bandera_eliminado"": ""0"", ""sucursal_duenio"": ""Autocor 6 de Diciembre"", ""grupo"": ""SUV"", ""transmision_bruta"": ""AUTOMATICA"", ""codigo_referencia_integracion"": ""4007DAFD-BBDD-480B-A20B-EFDFA9A9CD8A"", ""version"": ""QUAT FYBAAY AC  TFSI STRONIC"", ""precio_compra"": 28000, ""transmision"": ""Automática""}"
107,FORD,RANGER,Manual,2.0,33000,2025-10-03T21:46:37.000Z,"{""id_registro"": 107, ""id"": ""81C20069-CDB8-44EF-8D3C-FA243010F28A"", ""media"": ""https://cdn.pilotsolution.net/crm/stock/autocor/12193/12193_229695_desktop.jpeg"", ""marca"": ""FORD"", ""modelo"": ""RANGER"", ""precio"": 52900, ""anio"": 2024, ""duenio"": 0, ""domicilio"": 0, ""kilometraje"": 33000, ""tipo"": ""CAMIONETA"", ""ubicacion"": ""Autocor Shyris"", ""canal_negocio"": ""2000"", ""procesado_el"": ""2025-10-23T12:00:13.971Z"", ""color"": ""BLANCO"", ""accesorios"": ""4X4"", ""placa"": ""PFI5275"", ""bandera_recibido"": ""1"", ""dias_en_stock"": ""21"", ""publicado_en_web"": ""1"", ""numero_motor"": ""005-001-000004276"", ""reservado_por_email"": """", ""reservado_por_nombre"": """", ""reservado_el"": null, ""expira_el"": null, ""id_oportunidad_venta"": """", ""facturado_fabrica_el"": ""2025-10-02T00:00:00.000Z"", ""estado_fabrica"": """", ""estado"": ""DISPONIBLE"", ""combustible"": ""Diesel"", ""disponibilidad"": ""Disponible"", ""codigo_disponibilidad"": ""1"", ""creado_por"": ""JOHANNA LIZETH RECALDE SARANGO"", ""fecha_ingreso"": ""2025-10-03T21:46:37.000Z"", ""bandera_eliminado"": ""0"", ""sucursal_duenio"": ""Autocor Shyris"", ""grupo"": ""CAMIONETA"", ""transmision_bruta"": ""MANUAL"", ""codigo_referencia_integracion"": ""A74ACAF1-EC2C-461C-A115-879582AAF741"", ""version"": ""XL AC 2.0 CD 4X4 TM DIESEL"", ""precio_compra"": 52900, ""transmision"": ""Manual"", ""cilindraje"": ""2.0""}"
